Name;Country;Genre;YearOfProduction;LengthOfFilm;Translation;Subtitles;OriginalAudio;Director;Cast;Description;QualityOfVideo;FormatOfVideo;Video;Audio;PosterUrl
Джуманджи: Новый уровень / Jumanji: The Next Level;;;;;;;;;;;;;;;https://d.radikal.ru/d28/2003/85/72b9220fb412.png
мля кентурионы примипилы гастаты ДА;;;;;;;;;;;;;;;http://i89.fastpic.ru/big/2017/0113/d3/9e63c4dcd2168d7e2f9058de54de14d3.jpg
Угоняя лошадей / Ut og stjæle hester;Норвегия, Швеция, Дания;драма, детектив;2019;01:58:03;;нет;нет;;Стеллан Скарсгард, Тобиас Зантельман, Джон Рейнс, Бьёрн Флоберг, Даница Чурчич, Сьюр Ватне Бреан, Гард Б. Эйдсвольд, Пол Сверре Валхейм Хаген, Андерс Баасмо Кристиансен, Торбьорн Харр;Накануне прихода нового тысячелетия Тронд Сандер уезжает из Осло в деревню. Год подходит к концу, одиночество непреодолимо. И лишь призраки прошлого настигают Тронда с всё большей уверенностью. Но однажды Сандер встречает старого знакомого, который заставляет его вернуться воспоминаниями в юношество. Туда, где яркие краски лета и грациозные дикие лошади были декорациями первому страшному опыту познания чужой смерти. Туда, где радость переплеталась с предательством и разочарованием. Туда, откуда берут начало личные трагедии и самые счастливые моменты в жизни.;;AVI;720x304 (2.37:1), 25 fps, XviD build 73 ~1378 kbps avg, 0.25 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://i4.imageban.ru/out/2019/08/11/28177fb0c5ea17e5a5b951b7f916f7cc.png
Геошторм / Geostorm;США;;;;;русские (форс.);нет;;Джерард Батлер, Джим Стёрджесс, Эбби Корниш, Александра Мария Лара, Дэниэл Ву, Эухенио Дербес, Амр Вакед, Эдеперо Одуйе, Энди Гарсиа, Эд Харрис;;;AVI;720x400 (1.80:1), 23.976 fps, XviD build 73 ~1462 kbps avg, 0.21 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~448 kbps;http://i4.imageban.ru/out/2018/06/21/39526f5032d48a9c20aa4f9062e41652.jpg
Дикая история / El bar;Испания, Аргентина;ужасы, триллер, комедия;2017;01:42:00;;нет;нет;Алекс де ла Иглесиа / Álex de la Iglesia;Бланка Суарес, Марио Касас, Кармен Мачи, Секун де ла Роса, Хайме Ордоньес, Тереле Павес, Хоакин Климент, Алехандро Авада, Хорди Агилар, Диего Брагуински;Блондинка, хипстер, бизнесмен, бомж — разношерстная группа изолирована в кафе, когда всех выходящих из него начинает обстреливать снайпер. Выйти наружу смертельно опасно, но и внутри страсти разгораются нешуточные. Обстановка накаляется до предела, когда предположение, что главный источник угрозы находится внутри, находит подтверждение. Больше беспредела, ведь заказ кофе может стоить вам жизни!;BDRip | El.Bar.2017.BDREMUX 1080p. RUTOR;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1652 kbps avg, 0.31 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://c.radikal.ru/c09/2006/e4/1d50f0ebe41b.jpg
Выжившая / Месть / Revenge;Франция;боевик, триллер;2017;01:48:08;"Профессиональный (многоголосый, закадровый) | <span class=""post-b""><span class=""p-color"" style=""color: darkgreen;"">iTunes</span></span><br/><span class=""post-b"">Субтитры</span>: русские, английские<br/><span class=""post-b"">Оригинальная аудиодорожка</span>: английский<br/><span class=""post-b"">Режиссер</span>: Корали Фаржеа / Coralie Fargeat<br/><span class=""post-b"">В ролях</span>: Матильда Анна Ингрид Лутс, Кевин Дженссенс, Винсент Колумб, Гийом Бушед, Эвант Странгел<br/><span class=""post-b"">Описание</span>: Три друга каждый год собираются вместе, чтобы поохотиться в пустынном каньоне. Все они — состоятельные бизнесмены, семейные люди, а этот уик-энд для них — своего рода способ выпустить пар и подтвердить свою мужественность прикосновением к оружию. Однако на этот раз один из товарищей берет с собой свою молодую любовницу, сексуальную Лолиту, и та вызывает интерес у двух других мужчин. Ситуация выходит из-под контроля, и кажется, девушке предстоит погибнуть посреди высушенного ада, но не все так просто. На самих охотников открывается охота.<br/><span class=""post-b"">Качество видео</span>: BDRip | <span class=""post-b""><span class=""p-color"" style=""color: gray;"">Revenge.2017.Remux.W</span></span><br/><span class=""post-b"">Формат видео</span>: AVI<span class=""post-br""><br/></span><span class=""post-b"">Видео</span>: 720x304 (2.37:1), 24.000 fps, XviD build 73 ~2044 kbps avg, 0.39 bit/pixel<br/><span class=""post-b"">Аудио</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | <span class=""post-b""><span class=""p-color"" style=""color: darkgreen;"">rus</span></span><br/><span class=""post-b"">Аудио</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~448 kbps | eng";русские, английские;английский;;Матильда Анна Ингрид Лутс, Кевин Дженссенс, Винсент Колумб, Гийом Бушед, Эвант Странгел;Три друга каждый год собираются вместе, чтобы поохотиться в пустынном каньоне. Все они — состоятельные бизнесмены, семейные люди, а этот уик-энд для них — своего рода способ выпустить пар и подтвердить свою мужественность прикосновением к оружию. Однако на этот раз один из товарищей берет с собой свою молодую любовницу, сексуальную Лолиту, и та вызывает интерес у двух других мужчин. Ситуация выходит из-под контроля, и кажется, девушке предстоит погибнуть посреди высушенного ада, но не все так просто. На самих охотников открывается охота.;BDRip | Revenge.2017.Remux.W;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~2044 kbps avg, 0.39 bit/pixel;"48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | <span class=""post-b""><span class=""p-color"" style=""color: darkgreen;"">rus</span></span>";https://i6.imageban.ru/out/2018/09/17/a98dc212fc7361da339475867a965d56.jpg
Ториял;;;;;;;;;;;;;;;http://i91.fastpic.ru/big/2017/0221/74/bc4875106e73faa41d0e84850f385a74.jpg
Дело Коллини / Der Fall Collini;Германия;триллер, драма, криминал;2019;02:02:47;;русские, английские, немецкие;немецкий;Марко Кройцпайнтнер / Marco Kreuzpaintner;Франко Неро, Александра Мария Лара, Элиас ЭмБарек, Яннис Нивёнер, Ханнес Вегенер, Хайнер Лаутербах, Стефано Кассетти, Манфред Цапатка, Пиа Стутценштайн, Эксел Мусташ;Каспару Лайнену предстоит расследовать запутанное дело непримечательного механика, итальянца Фабрицио Коллини, который на первый взгляд безо всяких мотивов убил немецкого бизнесмена Ханса Майера, после чего сам сдался полиции. Положение вещей осложняется не только молчанием Коллини и более опытным адвокатом, претендующим на пост главного героя, но и его личным причастием к делу: внучка жертвы Йоханна была его юношеской любовью. Однако Лайнену случайно удаётся найти зацепку, благодаря которой он понимает, что столкнулся с крупнейшим судебным скандалом Германии.;BDRip | The.Collini.Case.2019.BDREMUX.1080p.seleZen;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1764 kbps avg, 0.34 bit/pixel;;https://b.radikal.ru/b14/2001/8e/79363cb1f34f.jpg
Проксима / Proxima;Франция, Германия;боевик, драма;2019;01:47:19;;нет;нет;Алис Винокур / Alice Winocour;;;;AVI;704x384 (1.83:1), 24.000 fps, XviD build 73 ~1550 kbps avg, 0.24 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://b.radikal.ru/b18/2003/2d/f6c4fd910cd4.png
Афера доктора Нока / Knock;Франция, Бельгия;комедия;2017;01:53:47;"Профессиональный (дублированный)<br/><span class=""post-b"">Субтитры</span>: русские (x2)<br/><span class=""post-b"">Оригинальная аудиодорожка</span>: французский<br/><span class=""post-b"">Режиссер</span>: Лоррэйн Леви / Lorraine Lévy<br/><span class=""post-b"">В ролях</span>: Омар Си, Алекс Лутс, Ана Жирардо, Сабин Азема, Паскаль Элбе, Одри Дана, Мишель Вюйермоз, Кристиан Эк, Элен Венсан, Андреа Ферреоль<br/><span class=""post-b"">Описание</span>: 1950-е. Карманник и авантюрист Нок, скрываясь от «коллег» в небольшом французском городке Сен-Морис, притворяется лицензированным врачом. Он придумал хитрый, но простой план, как не остаться без средств к существованию: лечить здоровых людей от несуществующих у них болезней. Нок — мастер в искусстве манипуляции и соблазнения — почти достиг желанной цели, если бы не два небольших затруднения: он влюбился, а на пороге неожиданно появился друг из прошлого, который намерен рассказать всю правду о докторе.<br/><span class=""post-b"">Качество видео</span>: <br/><span class=""post-b"">Формат видео</span>: AVI<span class=""post-br""><br/></span><span class=""post-b"">Видео</span>: 720x304 (2.37:1), 24.000 fps, XviD build 73 ~1971 kbps avg, 0.38 bit/pixel<br/><span class=""post-b"">Аудио 1</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | <span class=""post-b""><span class=""p-color"" style=""color: darkgreen;"">RUS</span></span><br/><span class=""post-b"">Аудио 2</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | Original";русские (x2);французский;;Омар Си, Алекс Лутс, Ана Жирардо, Сабин Азема, Паскаль Элбе, Одри Дана, Мишель Вюйермоз, Кристиан Эк, Элен Венсан, Андреа Ферреоль;1950-е. Карманник и авантюрист Нок, скрываясь от «коллег» в небольшом французском городке Сен-Морис, притворяется лицензированным врачом. Он придумал хитрый, но простой план, как не остаться без средств к существованию: лечить здоровых людей от несуществующих у них болезней. Нок — мастер в искусстве манипуляции и соблазнения — почти достиг желанной цели, если бы не два небольших затруднения: он влюбился, а на пороге неожиданно появился друг из прошлого, который намерен рассказать всю правду о докторе.;;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1971 kbps avg, 0.38 bit/pixel;;http://i3.imageban.ru/out/2018/03/22/99f49231bf7c8880c94602e919388d4e.png
